Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
A3,PA00,,Available,,,,,,NORMAL
A4,PA01,,Available,,,,,,NORMAL
B4,PB02,,Available,,,,,,NORMAL
B8,PA24,,Available,,,,,,NORMAL
C3,PB03,,Available,,,,,,NORMAL
C4,PA05,,Available,,,,,,NORMAL
C5,PA30,,Available,,,,,,NORMAL
C6,PA28,,Available,,,,,,NORMAL
C7,PB23,StatusLed,GPIO,Digital,Out,Low,,,NORMAL
C8,PA25,,Available,,,,,,NORMAL
D3,PA04,,Available,,,,,,NORMAL
D5,PA31,,Available,,,,,,NORMAL
D7,PA23,,Available,,,,,,NORMAL
D8,PA22,,Available,,,,,,NORMAL
E3,PA06,,Available,,,,,,NORMAL
E4,PA27,,Available,,,,,,NORMAL
E5,PB22,,Available,,,,,,NORMAL
E6,PA17,,Available,,,,,,NORMAL
E7,PA18,,Available,,,,,,NORMAL
E8,PA19,,Available,,,,,,NORMAL
F3,PA07,,Available,,,,,,NORMAL
F4,PA08,,Available,,,,,,NORMAL
F5,PA09,,Available,,,,,,NORMAL
F6,PA13,,Available,,,,,,NORMAL
F7,PA16,,Available,,,,,,NORMAL
F8,PA14,,Available,,,,,,NORMAL
G8,PA15,,Available,,,,,,NORMAL
I1,PB16,,Available,,,,,,NORMAL
I2,PA11,,Available,,,,,,NORMAL
I3,PA12,,Available,,,,,,NORMAL
I4,PB17,,Available,,,,,,NORMAL
I5,PA10,,Available,,,,,,NORMAL
I6,PB00,,Available,,,,,,NORMAL
I7,PC19,,Available,,,,,,NORMAL
I8,PB30,,Available,,,,,,NORMAL
J1,PB15,,Available,,,,,,NORMAL
J2,PB31,,Available,,,,,,NORMAL
J3,PC18,,Available,,,,,,NORMAL
